	gene_name	zscore	effect_size	pval	mt_pval	phenotype	tissue	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_model	p_smr	p_heidi	coloc_prob4	coloc_prob3	p_twas
1	CEP250	-13.09	-0.10	3.8e-39	3.8e-129	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.17	0.000056	0.00024	13	16	2.9e-8	0.0000061	0.0076	0.99	2.31710647980939e-39
2	CEP250	-12.22	-0.05	2.5e-34	3.8e-129	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.31	1.1e-9	5.9e-9	29	34	2.6e-20	0.079	2.4e-13	1.0	1.53721227592883e-63
3	CPNE1	-11.97	-0.05	5.1e-33	4.1e-29	GIANT_HEIGHT	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.34	1.2e-8	3.9e-7	56	60	4.3e-12	0.018	0.000032	1.0	9.43694827673209e-57
4	MAP1LC3A	11.58	0.06	5.2e-31	1.8e-58	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.40	9.0e-13	1.0e-11	27	34	4.9e-12	0.022	7.8e-9	1.0	1.64387360328847e-23
5	CPNE1	-11.36	-0.05	6.4e-30	4.1e-29	GIANT_HEIGHT	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.43	1.5e-13	6.3e-12	26	28	4.4e-13	0.0052	1.0e-8	1.0	2.98032093726353e-20
6	CPNE1	-11.34	-0.06	8.4e-30	4.1e-29	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.36	2.0e-10	4.4e-9	52	55	9.1e-12	0.040	0.0000064	1.0	4.53851602260771e-24
7	MAP1LC3A	10.89	0.05	1.3e-27	1.8e-58	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.42	8.7e-12	1.5e-10	41	53	8.6e-11	0.23	1.2e-7	1.0	1.35786570878494e-24
8	CPNE1	-10.85	-0.05	2.1e-27	4.1e-29	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.40	6.0e-12	1.4e-10	23	25	3.7e-12	0.037	6.9e-7	1.0	3.22718204851747e-34
9	RFT1	10.52	0.05	6.7e-26	1.4e-27	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.32	2.6e-9	3.2e-8	18	18	2.4e-11	0.23	0.96	0.045	1.23718686588273e-28
10	CEP250	-10.23	-0.04	1.5e-24	3.8e-129	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.41	1.4e-11	2.3e-10	32	33	1.9e-17	0.15	1.0e-10	1.0	1.28133772665737e-38
11	E2F1	9.71	0.04	2.9e-22	7.9e-29	GIANT_HEIGHT	TW_Brain_Hippocampus_Elastic_Net_0.5	0.36	4.3e-9	1.5e-7	15	17	4.4e-9	0.31	0.14	0.85	5.34784857907217e-23
12	PRMT7	9.49	0.06	2.3e-21	2.2e-37	GLGC_Mc_HDL	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.39	3.0e-11	7.9e-10	24	26	0.016	0.000014	0.017	0.98	2.22927077192196e-22
